,,"Backporting: fix will be backported to a previous release - don't show in final release notes.
2017.3 Feature/Regression: fix pertains to a feature in this release - don't show in final release notes.
Internal: fix pertains to something that we don’t necessarily want to advertise - don't show in any release notes.
Existing issue: everything else - show in alpha/beta and final release notes. (confused? ask on #release-management)",,"Note: Please use Markdown format inside cell. Also, expect the whole cell to be prefixed with a ""- "" to turn into a bullet item, so prefix spaces for internal bullets as necessary.",,Doc Team Usage,,
2017.3.0a2,928562,Backporting (show in alpha/beta notes only),Animation,Fixed Generic animation layers affecting base humanoid root motion,Pierre-Paul Giroux,,https://issuetracker.unity3d.com/issues/anim-layer-with-no-rm-overrides-rm-on-base-layer,
2017.3.0a2,927700,Existing Issue (show in final notes),Animation,Fixed keyframes skipped when navigating to Previous/Next keyframe in animation window,Simon Bouvier Zappa,,https://issuetracker.unity3d.com/issues/some-animation-keyframes-are-skipped-when-stepping-through-them-with-go-to-next-slash-previous-keyframe,
2017.3.0a2,925276,Backporting (show in alpha/beta notes only),Animation,Fixed crash when asigning incomplete AnimatorController from AssetBundle,Pierre-Paul Giroux,,https://issuetracker.unity3d.com/issues/crash-in-animationclip-buildmecanimdatamainthread-when-entering-a-play-mode,
2017.3.0a2,928601,Backporting (show in alpha/beta notes only),Animation,Fixed crash when changing OverrideController during interrupted transition,Pierre-Paul Giroux,,https://issuetracker.unity3d.com/issues/override-controller-created-with-script-and-without-animator-rebind-call-crashes-unity,
2017.3.0a2,925697,2017.3 Feature/Regression,Animation,Updated documentation for HumanDescription.skeleton,Pierre-Paul Giroux,,https://issuetracker.unity3d.com/issues/fbx-file-import-by-assetpostprocessor-causes-avatar-creation-fails,
2017.3.0a2,925529,Existing Issue (show in final notes),Animation,"Fixed property not displayed with ""Default Value"" identifier when last key is deleted in the curve editor",Simon Bouvier Zappa,,https://issuetracker.unity3d.com/issues/blue-default-value-does-not-appear-when-deleting-keys-from-curves-window,
2017.3.0a2,924605,Backporting (show in alpha/beta notes only),Animation,"Fixed arc ball manipulation not beeing properly recorded in animation clip when outside [0, 360] degrees",Simon Bouvier Zappa,,https://issuetracker.unity3d.com/issues/animation-curve-is-stuttering-while-rotating-the-game-object,
2017.3.0a2,927395,Backporting (show in alpha/beta notes only),Particles,Fixed mesh particles becoming inverted.,Karl Jones,,https://issuetracker.unity3d.com/issues/particles-mesh-particles-are-inverted-when-using-render-alignment-view,
2017.3.0a2,,Backporting (show in alpha/beta notes only),Scripting,Fixed assertion when using LineUtility.Simplify on some platforms.,Karl Jones,,,
2017.3.0a2,928554        ,Backporting (show in alpha/beta notes only),Particles,Fixes regression in collision module plane selection,Karl Jones,,https://issuetracker.unity3d.com/issues/collision-module-the-translate-slash-rotate-plane-controls-no-longer-work-in-2017-dot-2,
2017.3.0a2,,Internal,Windows,Improved performance of GetProfilerTime on Windows,Alexey Zakharov,,,
2017.3.0a2,,Backporting (show in alpha/beta notes only),Linux,Fix loading native plugins that have been marked as supporting both x86 and x86_64,Levi Bard,,,
2017.3.0a2,913869,Backporting (show in alpha/beta notes only),GI,Fixed certain Multiple Scene Editing scenarios from inflating the LightingDataAsset with duplicate entries,Tobias Alexander Franke,,https://issuetracker.unity3d.com/issues/lightingdata-for-additively-loaded-scenes-baked-together-is-much-bigger-than-for-a-single-scene-with-same-geometry,
2017.3.0a2,911116,Backporting (show in alpha/beta notes only),Cache Server,Fix for spaces in custom path for local Cache Server,Rob Jessop,,https://issuetracker.unity3d.com/issues/cache-server-doesnt-work-in-local-mode-if-the-path-to-the-cache-folder-contains-spaces,
2017.3.0a2,,Internal,Player,Enable async loading during booting.,Jaehyun Kang,,,
2017.3.0a2,,2017.3 Feature/Regression,Android,Enable automatic screen blit mode.,David Rogers,,,
2017.3.0a2,,2017.3 Feature/Regression,Android,Implement System.ExecutableAndDlls in the memory profiler,David Rogers,,,
2017.3.0a2,,2017.3 Feature/Regression,Graphics,Implement some OpenGL extensions that could improve performance depending upon the situations.,David Rogers,,,
2017.3.0a2,927427,Backporting (show in alpha/beta notes only),Multiplayer,Fix regression issue where the networking assembly is not ready when script update pointer is initialized,Larus Olafsson,,,
2017.3.0a2,866792,Existing Issue (show in final notes),Multiplayer,"Force scene ID to 0 on all prefabs, fixes issue where spawning an a network object instance will create it as a scene object",Larus Olafsson,,https://issuetracker.unity3d.com/issues/client-connection-to-hosted-server-is-interrupted-with-networkreader-readbyte-exception,
2017.3.0a2,932009,Backporting (show in alpha/beta notes only),VR,Add PlayerSettings values for new Async Video reprojection Settings,Joe Jones,,,
2017.3.0a2,930291,Existing Issue (show in final notes),UI,Fixed null reference exception and malformed UI when selecting prefab referencing deleted asset,Damian Campeanu,,,
2017.3.0a2,930931,Existing Issue (show in final notes),UI,Fixed broken GUI when selecting prefabs with scripts that have compile errors,Damian Campeanu,,,
2017.3.0a2,920404,Backporting (show in alpha/beta notes only),Universal Windows Platform,Enable BuildOptions.CompressWithLz4 support on UWP platform,Andrei Aristarkhov,,,
2017.3.0a2,832192,Backporting (show in alpha/beta notes only),Web,UnityWebRequest will now support support Cookies on redirect.,Aurimas Cernius,,https://issuetracker.unity3d.com/issues/unitywebrequest-does-not-send-set-cookies-on-redirect,
2017.3.0a2,,Internal,Android,Backed out android resouce override fix,Vilius Prakapas,,,
2017.3.0a2,800999,Backporting (show in alpha/beta notes only),iOS,"No more ""Stale Touch Detected!"" errors",Marius Siegas,,https://issuetracker.unity3d.com/issues/ios-stale-touch-detected-error-after-the-game-minimizing-and-re-opening-again,
2017.3.0a2,,2017.3 Feature/Regression,Editor,Cleanup of UIElements API,Mikaël Brochu,,,
2017.3.0a2,,2017.3 Feature/Regression,Editor,UIElements: renaming of bound->local and global->world,Mikaël Brochu,,,
2017.3.0a2,,2017.3 Feature/Regression,Editor,Manipulators have been cleaned with some refactor.,Mikaël Brochu,,,
2017.3.0a2,926713,2017.3 Feature/Regression,Shaders,Metal: Fixed editor selection errors,Lukas Chodosevičius,,,
2017.3.0a2,930311,Backporting (show in alpha/beta notes only),UI,Sprite Atlas variant will display correct on Image component.,Yuan Kuan Seng,,https://issuetracker.unity3d.com/issues/sprite-atlas-variant-does-not-render-properly,
2017.3.0a2,929964,Backporting (show in alpha/beta notes only),2D,Sprite Atlas variant will pack without error when master was compressed with crunched.,Yuan Kuan Seng,,https://issuetracker.unity3d.com/issues/pack-preview-fails-on-variant-atlas-when-master-atlas-has-use-crunch-compression-option-enabled,
2017.3.0a2,932460,2017.3 Feature/Regression,Build Pipeline,Fixed bug where build and run was deleting Assets folder,David Latham,,https://issuetracker.unity3d.com/issues/regression-build-and-run-tries-to-create-standalone-executable-named-assets-which-results-in-assets-folder-being-deleted,
2017.3.0a2,921489,Backporting (show in alpha/beta notes only),Physics,Fix 3D world particles collisions being broken in editor,Anthony Yakovlev,,https://issuetracker.unity3d.com/issues/physics-particles-3d-world-collisions-no-longer-work-in-edit-mode,
2017.3.0a2,923311,Backporting (show in alpha/beta notes only),Physics,Fix a crash when playing the Republique asset that happened due to threading issue with the deferred physics update,Anthony Yakovlev,,https://issuetracker.unity3d.com/issues/the-unity-project-from-the-asset-store-called-republique-crashes,
2017.3.0a2,905832,Backporting (show in alpha/beta notes only),Physics,Fix the setter of CapsuleCollider.radius causing the PhysX and Unity shapes to have different geometry,Anthony Yakovlev,,https://issuetracker.unity3d.com/issues/changing-capsulecollider-radius-in-runtime-through-code-makes-the-height-of-the-rigidbody-change,
2017.3.0a2,922674,Backporting (show in alpha/beta notes only),Physics,Explain in the docs how the friction and bounciness values are actually combined,Anthony Yakovlev,,https://issuetracker.unity3d.com/issues/the-bounciness-combine-value-of-a-physics-material-affects-the-colliding-objects,
2017.3.0a2,916451,Backporting (show in alpha/beta notes only),Physics,Fix TerrainData.SetHeights not updating the terrain collider properly run-time,Anthony Yakovlev,,https://issuetracker.unity3d.com/issues/elevating-terrain-using-terraindata-dot-setheights-results-in-raycast-not-hitting-some-of-it,
2017.3.0a2,"849542, 876339",Backporting (show in alpha/beta notes only),Physics,Fixed collisions against the convex MeshColliders being inaccurate in the PCM mode due to implicit inflation,Anthony Yakovlev,,https://issuetracker.unity3d.com/issues/collision-with-mesh-collider-is-unrealistic,
2017.3.0a2,827127,Backporting (show in alpha/beta notes only),Physics,Fixed kinematic bodies causing an inaccuracy in CCD collisions due to an islands numbering fault,Anthony Yakovlev,,https://issuetracker.unity3d.com/issues/colliding-points-are-always-different-after-reloading-scene-with-f1,
2017.3.0a2,827127,Backporting (show in alpha/beta notes only),Physics,Fixed some Cloth properties being exposed as float when they were expected to be bool instead,Sean Parkinson,,https://issuetracker.unity3d.com/issues/colliding-points-are-always-different-after-reloading-scene-with-f1,
2017.3.0a3,917133,Backporting (show in alpha/beta notes only),OSX,Fix crash when WebCamTexture is used,Povilas Kanapickas,,https://issuetracker.unity3d.com/issues/os-x-checkdisalowallocation-allocating-memory-when-it-is-not-allowed-to-allocate-memory,
2017.3.0a3,920781,Backporting (show in alpha/beta notes only),Graphics,Don't enable blending on unsupported pixel formats on Metal,Povilas Kanapickas,,https://issuetracker.unity3d.com/issues/ios-metal-crash-in-getpipeline-at-gfxdevicemetal-dot-mm-with-argbfloat-texture,
2017.3.0a3,915959,Backporting (show in alpha/beta notes only),Graphics,Ensure we don't create textures with too high mip count on Metal,Povilas Kanapickas,,,
2017.3.0a3,921286,Backporting (show in alpha/beta notes only),OSX,Don't crash when importing project with Metal as the only graphics API and Metal support is disabled due to OSX bugs,Povilas Kanapickas,,https://issuetracker.unity3d.com/issues/unity-crashes-in-guiview-createrenderview-when-upgrading-project,
2017.3.0a3,932469,Existing Issue (show in final notes),Services,Prevent collab from getting into a publish loop,Mathieu Rivest,,,
2017.3.0a3,898262,Backporting (show in alpha/beta notes only),Terrain,Fixed an issue where error messages about JobTempAlloc would appear in player output log if trees are used on a terrain.,Yuanxing Cai,,https://issuetracker.unity3d.com/issues/jobtempalloc-error-appears-in-32-bit-standalone-build-output-log-if-trees-are-in-the-scene,
2017.3.0a3,927365,Existing Issue (show in final notes),Terrain,Fixed an issue where assertions would appear if you have OnTerrainChanged message callback in your MonoBehaviour.,Yuanxing Cai,,https://issuetracker.unity3d.com/issues/regression-api-scriptparameterclass-equals-null-exceptions-thrown-when-opening-project-containing-onterrainchanged-api,
2017.3.0a3,929987,Backporting (show in alpha/beta notes only),Terrain,Fixed a crash that could happen when you have a very large number of terrains with SpeedTree trees on them.,Yuanxing Cai,,https://issuetracker.unity3d.com/issues/processcameraindexlistisnodevisiblestep1-crashes-unity-when-trying-to-open-a-scene-view,
2017.3.0a3,921107,Existing Issue (show in final notes),Terrain,"Fixed an issue where a terrain detail mesh would have incorrect wind animation if it uses vertex colors as weights and ""Optimize Mesh Data"" is enabled in Player Settings.",Yuanxing Cai,,https://issuetracker.unity3d.com/issues/enabling-optimize-mesh-data-results-into-paint-details-having-a-sliding-wind-effect-in-a-built-player,
2017.3.0a3,,Backporting (show in alpha/beta notes only),Build Pipeline,Fixed Assert and potential crash when building projects with Materials or Shader Variant Collections which reference missing shaders ie deleted,Xiao Ling Yao,,,
2017.3.0a3,919162,Existing Issue (show in final notes),Graphics,Fixed memory leak in Texture2DArray and CubeMapArrayTexture,David Lovegrove,,https://issuetracker.unity3d.com/issues/texture2darray-dot-apply-makenolongerreadable-true-doesnt-free-heap-memory,
2017.3.0a3,,Internal,Asset Import,"
Fixed an issue where visibility curves did not propagate to mesh parts when a mesh is split during import.",Thomas Chollet,,,
2017.3.0a3,925925,Backporting (show in alpha/beta notes only),Player,"Fix ""-adapter"" and ""-monitor"" command line arguments for the windows standalone player",Joseph Scheinberg,,https://issuetracker.unity3d.com/issues/standalone-player-command-line-argument-adapter-does-not-choose-an-alternate-monitor,
2017.3.0a3,,Backporting (show in alpha/beta notes only),Editor,Fixed angular limit handle not correctly accounting for anchor/connected anchor position on 3D joints (also being back ported to 2017.2),Adam Mechtley,,,
2017.3.0a3,,Backporting (show in alpha/beta notes only),Editor,Fixed angular limit handle not correctly accounting for swap bodies property on ConfigurableJoint (also being back ported to 2017.2),Adam Mechtley,,,
2017.3.0a3,,Backporting (show in alpha/beta notes only),Editor,Fixed bug where angular limit handle on HingeJoint2D was using wrong handedness (also being back ported to 2017.2),Adam Mechtley,,,
2017.3.0a3,,Backporting (show in alpha/beta notes only),Editor,Changed behavior of HingeJoint2D handle to bring it in line with 3D handles and make it more usable; the limit arc is now fixed (to the orientation of the connected body) and the reference line moves (also being back ported to 2017.2),Adam Mechtley,,,
2017.3.0a3,,Backporting (show in alpha/beta notes only),Editor,Improved usability by reorienting angular limit handle when actor 1 is kinematic/static and actor 0 is dynamic for both 2D and 3D (also being back ported to 2017.2),Adam Mechtley,,,
2017.3.0a3,,Backporting (show in alpha/beta notes only),Editor,Fixed bug where axis colors on JointAngularLimitHandle were not multiplying with Handles.color (also being back ported to 2017.2),Adam Mechtley,,,
2017.3.0a3,913282,Backporting (show in alpha/beta notes only),Android,Fix screen width/height being swapped when changing orientation after setting a resolution,Vilius Prakapas,,https://issuetracker.unity3d.com/issues/android-changing-screen-orientation-stretches-view-after-using-setresolution,
2017.3.0a3,,Backporting (show in alpha/beta notes only),Android,Apps no longer signed with signature scheme v2 when building for oculus,Vilius Prakapas,,,
2017.3.0a3,930679,Backporting (show in alpha/beta notes only),Physics,Ensure linear velocity explicitly set on a Kinematic Rigidbody2D is correctly handled.,Melvyn May,,https://issuetracker.unity3d.com/issues/kinematic-rigidbody2d-velocities-are-not-applied,
2017.3.0a3,,Backporting (show in alpha/beta notes only),Physics,Ensure that nested Kinematic Rigidbody2D correctly match the pose of any Parent Rigidbody2D.,Melvyn May,,,
2017.3.0a3,925913,Backporting (show in alpha/beta notes only),Build Pipeline,Calculate mipmap count properly when importing NPOT with GfxDeviceNull,Paulius Puodžiūnas,,https://issuetracker.unity3d.com/issues/project-with-deleted-metadata-and-built-with-nographics-does-not-show-textures-in-a-build,
2017.3.0a3,,Backporting (show in alpha/beta notes only),iOS,Fixed trampooline compilation errors for iOS 11 simulator,Paulius Puodžiūnas,,,
2017.3.0a3,,Backporting (show in alpha/beta notes only),iOS,"Added editor string (profiller, Unity remote & etc.) for 2nd gen iPad Pro",Paulius Puodžiūnas,,,
2017.3.0a3,,2017.3 Feature/Regression,iOS,Don't attempt to close open Xcode projects when running playmode tests,Paulius Puodžiūnas,,,
2017.3.0a3,917568,Backporting (show in alpha/beta notes only),Build Pipeline,Fixed incorrect mesh channel stripping when mesh is used as a shape emitter in particle systems,Ryan Caltabiano,,https://issuetracker.unity3d.com/issues/assetbundles-containing-particles-with-mesh-shape-emitter-instantiates-in-wrong-direction,
2017.3.0a3,917862,Backporting (show in alpha/beta notes only),UI,Fixing issue where is the component is just disabled it was not finding the correct parent canvas.,Philip Cosgrave,,https://issuetracker.unity3d.com/issues/child-canvas-is-being-rendered-when-parent-canvas-canvas-component-is-disabled-in-play-mode,
2017.3.0a3,911613,Existing Issue (show in final notes),UI,Fixing issue where Font fallback references would not serialize properly,Philip Cosgrave,,https://issuetracker.unity3d.com/issues/editor-does-not-save-font-asset-fallback-reference-properly-which-prevents-the-fallback-from-working,
2017.3.0a3,924188,Backporting (show in alpha/beta notes only),UI,Fixing issue where position wasn't updated for disabled object causing incorrect positioning.,Philip Cosgrave,,https://issuetracker.unity3d.com/issues/panel-is-drawn-in-the-wrong-position-when-gameobject-setactive-is-called-in-the-selectable-onpointerexit,
2017.3.0a3,923969,Backporting (show in alpha/beta notes only),UI,Fixed memory leak in UI Profiler,Patrick Fournier,,,
2017.3.0a3,859385,Existing Issue (show in final notes),UI,Skip RectTransform preview when parent width is zero.,Theo Richart,,https://issuetracker.unity3d.com/issues/look-rotation-viewing-vector-is-zero-is-shown-up-when-the-gameobject-has-an-ui-component-and-2d-view-is-turned-on,
2017.3.0a3,,2017.3 Feature/Regression,UI,fixing null raycaster hit list due to new optimizations,Philip Cosgrave,,,
2017.3.0a3,840983,Existing Issue (show in final notes),UI,"making the event systems be a list such that you can add multiple, remove one and still have the old system working without having to find every time.",Philip Cosgrave,,https://issuetracker.unity3d.com/issues/scenemanager-dot-unloadsceneasync-does-not-unload-eventmanager-and-audiolistener,
2017.3.0a3,930049,Existing Issue (show in final notes),UI,Fixing issue with showing wrong data in graph due to same stat name as GFX module,Philip Cosgrave,,,
2017.3.0a3,920722,Backporting (show in alpha/beta notes only),Scripting Upgrade,Fix crash when System.Reflection.Emit is used to generate assemblies for the AppDomain.AssemblyResolve event,Jonathan Chambers,,,
2017.3.0a3,930244,Backporting (show in alpha/beta notes only),Scripting Upgrade,Fix managed debugger on Windows failing to attach,Jonathan Chambers,,https://issuetracker.unity3d.com/issues/debugger-can-not-be-attached-and-unity-crashes-on-exit-after-that-dot-net-4-dot-6,
2017.3.0a3,918651,Backporting (show in alpha/beta notes only),Scripting,Fix managed debugger on Windows hanging when all scripts with OnAudioFilterRead have been disabled,Jonathan Chambers,,https://issuetracker.unity3d.com/issues/win-disabling-all-occurrances-of-onaudiofilterread-cause-unity-to-freeze-when-hitting-a-breakpoint-in-an-attached-debugger,
2017.3.0a3,920085,Backporting (show in alpha/beta notes only),Scripting,Fix crash when invoking LINQ expressions,Jonathan Chambers,,https://issuetracker.unity3d.com/issues/os-x-unity-crashes-when-using-custom-types-in-linq-expressions-on-mac-pcs,
2017.3.0a3,923165,Backporting (show in alpha/beta notes only),Scripting Upgrade,Fix memory corruption/crash after domain reload when using Assembly.Load(Byte[]),Jonathan Chambers,,https://issuetracker.unity3d.com/issues/parental-assembly-gets-unloaded-when-dynamically-loading-child-assembly-from-bytes-with-net-4-dot-6,
2017.3.0a3,933533,Backporting (show in alpha/beta notes only),Scripting,Fix crash when naming a script using name of existing nested class,Jonathan Chambers,,https://issuetracker.unity3d.com/issues/adding-a-new-script-called-status-to-the-game-object-via-addcomponent-button-in-the-inspector-crashes-the-editor,
2017.3.0a3,934518,Backporting (show in alpha/beta notes only),Scripting Upgrade,Fix export package window tree structure,Jonathan Chambers,,https://issuetracker.unity3d.com/issues/exporting-package-window-does-not-show-folder-tree-view-and-shows-repetitions-of-all-the-folders-after-changing-to-net-4-dot-6,
2017.3.0a3,930644,Backporting (show in alpha/beta notes only),Scripting Upgrade,Improve distribution of Guid.GetHashCode(),Jonathan Chambers,,https://issuetracker.unity3d.com/issues/performance-regression-with-guids-in-hashsets-and-net-4-dot-6,
2017.3.0a3,935733,Backporting (show in alpha/beta notes only),Scripting Upgrade,Fix errors when entering play mode multiple times,Jonathan Chambers,,https://issuetracker.unity3d.com/issues/rewired-asset-becomes-corrupted-when-unity-enters-play-mode-second-time,
2017.3.0a3,,Backporting (show in alpha/beta notes only),Player,Fixed issue in which calling PlayerPrefs::DeleteAll() accidentally deleted internal analytics data.,Santiago Gutierrez,,,
2017.3.0a3,,Backporting (show in alpha/beta notes only),Editor,Fix one case of upgrading projects from very old versions of Unity,Levi Bard,,,
2017.3.0a3,,Existing Issue (show in final notes),Editor,Fix player build success notification,Levi Bard,,,
2017.3.0a3,,Backporting (show in alpha/beta notes only),Graphics,Fix crash with vulkan compute buffers,Levi Bard,,,
2017.3.0a3,,Existing Issue (show in final notes),Editor,Fix progress bar display for test tools,Levi Bard,,,
2017.3.0a3,920508,Existing Issue (show in final notes),Android,Fixed an issue with having lots of VBOs allocated even for an empty scene on Android during application startup,Aleksandr Kirillov,,https://issuetracker.unity3d.com/issues/android-gpu-memory-of-unity-5-is-bigger-than-unity-4-with-a-empty-scene-on-android-platform,
2017.3.0a3,931848,Existing Issue (show in final notes),Android,Fixed OpenGL ES version check for Android and Android Extension Pack detection in the editor,Aleksandr Kirillov,,https://issuetracker.unity3d.com/issues/gles3-dot-1-plus-aep-support-not-recognized-on-gles3-dot-2-devices,
2017.3.0a3,934585,Existing Issue (show in final notes),XR,Fix for GearVR HMD touch pad not working with new Input System.,Joel Pryde,,,
2017.3.0a3,930819,Backporting (show in alpha/beta notes only),Asset Bundles,Fixed an issue where calling LoadAllAssets with a type parameter could cause loading errors,Ryan Caltabiano,,https://issuetracker.unity3d.com/issues/assetbundles-assetbundle-dot-loadallassets-does-not-load-objects-in-the-build-missing-behaviour-warnings-in-the-editor,
2017.3.0a3,814569,Existing Issue (show in final notes),XR,Fix an issue with canvas lagging behind when attached to a spatially tracked object while in the editor and play mode.,Joel Pryde,,https://issuetracker.unity3d.com/issues/vr-canvas-lags-behind-when-attached-to-a-controller,
2017.3.0a3,,Existing Issue (show in final notes),Asset Import,"Fixed bug with ScriptedImporter where a sub-asset added to the AssetImportContext would become the main asset, when the specified main asset was of certain built-in types",Adam Mechtley,,,
2017.3.0a3,920816,Existing Issue (show in final notes),Video,Fixed typo in one of the VideoPlayer editor tooltips (Audio Source).,Dominique Leroux,,https://issuetracker.unity3d.com/issues/when-hovering-onto-audio-source-property-in-video-player-component-grammatically-incorrect-tooltip-appears,
2017.3.0a3,923258,Existing Issue (show in final notes),Video,Fixed incorrect VideoPlayer naming suffix when drag-anddropping a VideoClip into the scene.,Dominique Leroux,,https://issuetracker.unity3d.com/issues/1-is-added-to-video-player-name-when-video-player-is-created-by-dragging-video-file-to-hierarchy,
2017.3.0a3,856784,Existing Issue (show in final notes),Video,.mov with uncompressed RGBA now supported on OSX.,Dominique Leroux,,,
2017.3.0a4,931602,Backporting (show in alpha/beta notes only),Web,Fix UnityWebRequest/WWW adding http://localhost prefix instead of http:// to URL without scheme.,Aurimas Cernius,,https://issuetracker.unity3d.com/issues/www-adds-http-slash-slash-localhost-prefix-to-the-url-if-the-url-doesnt-contain-http-slash-slash,
2017.3.0a4,932312,Backporting (show in alpha/beta notes only),Web,Fix UnityWebRequest throwing exception when setting User-Agent to value containing comments (parentheses).,Aurimas Cernius,,https://issuetracker.unity3d.com/issues/www-unitywebrequest-invalidoperationexception-when-user-agent-header-contains-parenthesis,
2017.3.0a4,917676,Existing Issue (show in final notes),Audio,The AudioListener.pause property was not reset when exiting Play mode.,Jan Marguc,,https://issuetracker.unity3d.com/issues/audiolistener-dot-pause-variable-is-not-reset-when-exiting-play-mode,
2017.3.0a4,922299,Existing Issue (show in final notes),Audio,AudioSource volume was incorrect when re-enabling disabled AudioSource.,Janus Lynggaard,,,
2017.3.0a4,907123,Existing Issue (show in final notes),Audio,Mixer: Duplicated groups can now be undone.,Janus Lynggaard,,https://issuetracker.unity3d.com/issues/audio-mixer-group-duplicate-doesnt-get-deleted-with-undo,
2017.3.0a4,921686,Existing Issue (show in final notes),Audio,Audio Source occasionally became louder when played repeatedly.,Jan Marguc,,https://issuetracker.unity3d.com/issues/audio-source-become-louder-on-occasion-if-played-on-a-loop,
2017.3.0a4,905679,Existing Issue (show in final notes),Audio,The first AudioMixerSnapshot.TransitionTo call incorrectly started a transition from selected snapshot instead of the defined start snapshot.,Janus Lynggaard,,https://issuetracker.unity3d.com/issues/audiomixer-transitions-snapshots-from-selected-snapshot-instead-of-start-snapshot-when-using-audiomixersnapshot-dot-transitionto,
2017.3.0a4,908919,Existing Issue (show in final notes),Audio,Fixed glitches in audio mixer group view when adding/duplicating a large number of groups.,Jan Marguc,,https://issuetracker.unity3d.com/issues/audio-mixer-groups-bug-out-when-adding-slash-duplicating-them-in-a-bunch,
2017.3.0a4,895642,Existing Issue (show in final notes),Audio,Deleting a mixer asset from Audio Mixer window no longer causes deletion of the selected folder.,Janus Lynggaard,,https://issuetracker.unity3d.com/issues/deleting-mixer-file-from-audio-mixer-window-instead-deletes-selected-folder,
2017.3.0a4,915586,Existing Issue (show in final notes),Audio,AudioSource had short volume glitches at the beginning of playback when a Rigidbody was attached.,Jan Marguc,,https://issuetracker.unity3d.com/issues/audio-clip-will-be-heard-for-a-very-short-time-even-if-max-distance-does-not-reach-an-audio-listener-when-rigidbody-is-attached,
2017.3.0a4,802828,Existing Issue (show in final notes),Audio,Changing Reverb Preset of an AudioReverbZone via script had no effect on audio.,Jan Marguc,,https://issuetracker.unity3d.com/issues/audioreverbzone-changing-reverb-preset-via-script-has-no-effect-on-audio,
2017.3.0a4,922827,Existing Issue (show in final notes),Audio,The audio clip no longer starts to play when auto-play is enabled in the preview window and the Game/Scene view is detached.,Jan Marguc,,https://issuetracker.unity3d.com/issues/audio-clip-starts-to-play-when-detaching-the-game-slash-scene-view,
2017.3.0a4,901001,Existing Issue (show in final notes),Audio,AudioClip in Audio Source component only played the first selected audio clip.,Jan Marguc,,https://issuetracker.unity3d.com/issues/audioclip-in-audio-source-component-doesnt-play-audio-clip-preview-when-selecting-another-audio-clip,
2017.3.0a4,926480,Existing Issue (show in final notes),Audio,Fixed error when trying to undo 'Set as start Snapshot' action.,Jan Marguc,,https://issuetracker.unity3d.com/issues/assertion-failed-when-trying-to-undo-set-as-start-snapshot-action,
2017.3.0a4,849469,Existing Issue (show in final notes),Audio,Fixed incorrect display of source-listener distance when both source and listener are attached to the same game object and the game object is accelerating.,Jan Marguc,,https://issuetracker.unity3d.com/issues/audio-position-doesnt-keep-up-with-physics-movement,
2017.3.0a4,895350,Existing Issue (show in final notes),Audio,On Windows it was not possible to receive information about microphone devices when its name contained special characters.,Janus Lynggaard,,https://issuetracker.unity3d.com/issues/can-not-receive-information-about-microphone-devices-on-specific-computer-builds,
2017.3.0a4,931206,Existing Issue (show in final notes),Audio,AudioSource were affected by AudioReverbZone even with the Bypass Reverb Zones setting enabled.,Jan Marguc,,https://issuetracker.unity3d.com/issues/audio-source-affected-by-reverb-zone-even-with-bypass-reverb-zones-setting-enabled,
2017.3.0a4,929802,Backporting (show in alpha/beta notes only),IL2CPP,Prevent a possible crash in List.AddRange.,Josh Peterson,,https://issuetracker.unity3d.com/issues/ios-build-crashes-when-adding-new-data-via-list-dot-addrange,
2017.3.0a4,912815,Backporting (show in alpha/beta notes only),IL2CPP,Prevent integer overflow warnings from occurring the generated C++ code.,Josh Peterson,,https://issuetracker.unity3d.com/issues/ios-il2cpp-generated-code-creating-overflow-warning-result-is-1399739113-with-type-int-when-building-xcode-project,
2017.3.0a4,930252,Backporting (show in alpha/beta notes only),IL2CPP,Correct a possible crash with the RegionInfo class in mscorlib.dll was incorrectly removed by the managed code linker.,Josh Peterson,,https://issuetracker.unity3d.com/issues/il2cpp-application-crashes-with-fatal-signal-11-sigsegv-code-1-when-accessing-regioninfo-class,
2017.3.0a4,935659,Existing Issue (show in final notes),Video,"On Android, videos stop playing when trying to resynchronize.",Francis Bertrand,,https://issuetracker.unity3d.com/issues/video-player-h264-and-vp8-videos-dont-play-on-android-devices,
2017.3.0a4,934977,Backporting (show in alpha/beta notes only),Timeline,Fix for graph not updating on clip movement,Sean Thompson,,,
2017.3.0a4,"932912, 932912 ",Backporting (show in alpha/beta notes only),Timeline,Forced clip offsets to update / Fixed Split clip not refreshing the Timeline graph,Sean Thompson,,,
2017.3.0a4,899502,Backporting (show in alpha/beta notes only),Shaders,Fixed GLSL shader compile errors due to lack of default precision specifier.,Xiao Ling Yao,,https://issuetracker.unity3d.com/issues/android-ios-glsl-shader-compilation-failure-on-some-mobile-devices,
2017.3.0a4,,2017.3 Feature/Regression,Graphics,Fixed spamming warnings when previewing materials using Sprite/Default shader with GPU instancing enabled.,Xiao Ling Yao,,,
2017.3.0a4,,Backporting (show in alpha/beta notes only),Linux,Fallback to xinerama/xvidmode for video modes initialization if xrandr fails,Levi Bard,,,
2017.3.0a4,873823,Backporting (show in alpha/beta notes only),Editor,Fix in-launcher names of projects loaded via relative path,Levi Bard,,https://issuetracker.unity3d.com/issues/when-the-path-of-project-is-loaded-with-in-the-end-project-name-gets-overridden-with-in-the-project-list,
2017.3.0a4,932630,Backporting (show in alpha/beta notes only),Editor,Fix screen capture,Levi Bard,,https://issuetracker.unity3d.com/issues/editor-becomes-unresponsive-when-calling-screencapture-dot-capturescreenshot-if-scale-value-of-game-view-is-less-than-1,
